SessionDuration,AdministrativeAvgDuration,InformationalAvgDuration,ProductRelatedAvgDuration,BounceRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,0.2,0.0,0.0,Feb,1,1,1,1,Returning_Visitor,False,False
64.0,0.0,0.0,32.0,0.0,0.0,0.0,Feb,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.2,0.0,0.0,Feb,4,1,9,3,Returning_Visitor,False,False
2.666666667,0.0,0.0,1.3333333335,0.05,0.0,0.0,Feb,3,2,2,4,Returning_Visitor,False,False
627.5,0.0,0.0,62.75,0.02,0.0,0.0,Feb,3,3,1,4,Returning_Visitor,True,False
154.2166667,0.0,0.0,8.116666668421052,0.015789474,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.2,0.0,0.4,Feb,2,4,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.2,0.0,0.0,Feb,1,2,1,5,Returning_Visitor,True,False
37.0,0.0,0.0,18.5,0.0,0.0,0.8,Feb,2,2,2,3,Returning_Visitor,False,False
738.0,0.0,0.0,246.0,0.0,0.0,0.4,Feb,2,4,1,2,Returning_Visitor,False,False
395.0,0.0,0.0,131.66666666666666,0.0,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,False
407.75,0.0,0.0,25.484375,0.01875,0.0,0.4,Feb,1,1,4,3,Returning_Visitor,False,False
280.5,0.0,0.0,40.07142857142857,0.0,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
98.0,0.0,0.0,16.333333333333332,0.0,0.0,0.0,Feb,2,5,1,3,Returning_Visitor,False,False
68.0,0.0,0.0,34.0,0.0,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,False,False
1721.285119,26.5,0.0,72.53413560869565,0.008333333,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.2,0.0,0.0,Feb,1,1,4,3,Returning_Visitor,False,False
334.9666667,0.0,0.0,25.76666666923077,0.0,0.0,0.0,Feb,1,1,1,4,Returning_Visitor,True,False
32.0,0.0,0.0,16.0,0.0,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
2981.166667,0.0,0.0,149.05833335,0.0,0.0,0.0,Feb,2,4,4,4,Returning_Visitor,False,False
136.1666667,0.0,0.0,17.0208333375,0.0,0.0,1.0,Feb,2,2,5,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,0.2,0.0,0.0,Feb,3,3,1,3,Returning_Visitor,False,False
105.0,0.0,0.0,35.0,0.0,0.0,0.0,Feb,3,2,1,5,Returning_Visitor,False,False
15.0,0.0,0.0,7.5,0.0,0.0,0.8,Feb,2,4,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.2,0.0,0.0,Feb,2,2,4,1,Returning_Visitor,True,False
156.0,0.0,0.0,31.2,0.0,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,False,False
1200.0444439999999,16.15,0.0,35.482638875,0.002857143,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
76.0,0.0,0.0,19.0,0.05,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
63.0,0.0,0.0,15.75,0.0,0.0,0.2,Feb,2,6,1,3,Returning_Visitor,False,False
1588.75,6.0,0.0,35.172222222222224,0.043478261,54.17976426,0.4,Feb,3,2,1,1,Returning_Visitor,False,False
35.0,0.0,0.0,17.5,0.0,0.0,0.0,Feb,1,1,6,3,Returning_Visitor,False,False
78.0,0.0,0.0,26.0,0.0,0.0,0.0,Feb,1,2,6,6,Returning_Visitor,True,False
209.5,0.0,0.0,26.1875,0.0,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,False,False
183.6666667,0.0,0.0,18.36666667,0.04,0.0,0.0,Feb,1,1,3,1,Returning_Visitor,False,False
380.5,0.0,0.0,27.178571428571427,0.014285714,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,False,False
2086.242857,0.0,0.0,40.120054942307696,0.015384615,0.0,0.0,Feb,2,2,7,1,Returning_Visitor,False,False
388.0,0.0,0.0,48.5,0.025,0.0,0.0,Feb,3,2,1,4,Returning_Visitor,True,False
316.0,9.0,0.0,59.6,0.0,0.0,0.8,Feb,2,2,8,4,Returning_Visitor,False,False
63.0,0.0,0.0,9.0,0.028571429,0.0,0.6,Feb,2,2,1,3,Returning_Visitor,False,False
482.0,0.0,0.0,53.55555555555556,0.0,0.0,0.0,Feb,2,5,1,6,Returning_Visitor,False,False
4093.393939,9.0,0.0,88.79117258695652,0.0,0.0,0.0,Feb,2,2,8,4,Returning_Visitor,False,False
22.0,0.0,0.0,7.333333333333333,0.0,0.0,0.6,Feb,1,1,3,2,Returning_Visitor,False,False
310.1666667,0.0,0.0,20.67777778,0.0,0.0,0.0,Feb,1,1,4,4,Returning_Visitor,False,False
34.0,0.0,0.0,17.0,0.0,0.0,0.4,Feb,3,2,2,3,Returning_Visitor,False,False
88.0,0.0,0.0,22.0,0.0,0.0,0.0,Feb,4,1,1,3,Returning_Visitor,False,False
622.25,0.0,0.0,28.28409090909091,0.003030303,0.0,0.2,Feb,2,5,1,4,Returning_Visitor,False,False
222.4,0.0,0.0,15.885714285714286,0.017142857,0.0,0.0,Feb,1,1,1,2,Returning_Visitor,False,False
80.0,0.0,0.0,26.666666666666668,0.066666667,0.0,0.2,Feb,3,2,1,3,Returning_Visitor,False,False
800.8333333,0.0,0.0,72.8030303,0.0,0.0,0.0,Feb,3,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.2,0.0,0.6,Feb,2,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.2,0.0,0.0,Feb,1,1,3,4,Returning_Visitor,True,False
265.1666667,0.0,0.0,22.097222225,0.011111111,0.0,0.2,Feb,3,2,1,3,Returning_Visitor,False,False
29.0,0.0,0.0,14.5,0.0,0.0,1.0,Feb,2,4,4,2,Returning_Visitor,True,False
160.0,0.0,0.0,40.0,0.0,0.0,0.0,Feb,4,2,2,3,Returning_Visitor,False,False
135.6666667,0.0,0.0,33.916666675,0.05,0.0,0.4,Feb,3,3,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.2,0.0,0.2,Feb,2,4,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.2,0.0,0.6,Feb,3,2,3,3,Returning_Visitor,False,False
1174.7416667,14.0,60.0,27.742824075,0.0,19.44707913,0.2,Feb,2,2,4,1,Returning_Visitor,False,False
104.0,0.0,0.0,26.0,0.0,0.0,0.4,Feb,2,6,6,3,Returning_Visitor,False,False
397.6865079,8.0,0.0,23.85540674375,0.011764706,0.0,0.6,Feb,2,4,2,1,Returning_Visitor,False,False
169.0,0.0,0.0,28.166666666666668,0.0,0.0,0.4,Feb,1,1,3,3,Returning_Visitor,False,False
400.8,0.0,0.0,50.1,0.05,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
1832.9999997,23.284722225,0.0,36.99007935714286,0.009,38.30849268,0.0,Feb,1,1,3,2,Returning_Visitor,False,False
706.5,0.0,0.0,50.464285714285715,0.0,0.0,0.0,Feb,2,2,5,4,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,0.2,0.0,0.0,Feb,2,2,4,3,Returning_Visitor,False,False
886.16666663,29.277777776666667,0.0,29.567901233333334,0.0,22.9160357,0.8,Feb,2,2,3,1,Returning_Visitor,False,True
6995.972222,11.0,0.0,77.24413580000001,0.002150538,0.0,0.0,Feb,4,1,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.2,0.0,0.6,Feb,2,2,5,1,Returning_Visitor,False,False
902.0,0.0,0.0,50.111111111111114,0.0,0.0,0.0,Feb,2,7,2,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.2,0.0,0.2,Feb,3,2,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.2,0.0,0.0,Feb,2,6,1,2,Returning_Visitor,False,False
197.3777778,0.0,0.0,9.86888889,0.025,0.0,0.0,Feb,2,6,6,1,Returning_Visitor,False,False
43.0,0.0,0.0,21.5,0.0,0.0,0.4,Feb,2,2,3,3,Returning_Visitor,False,False
426.6666667,0.0,0.0,53.3333333375,0.0,0.0,0.0,Feb,2,4,3,2,Returning_Visitor,False,False
135.0,0.0,0.0,45.0,0.0,0.0,0.0,Feb,2,4,3,3,Returning_Visitor,False,False
