Arm,Tier,FeatureSet,Model,SamplingTechnique,AUC,F1@0.5,BestF1,BestThreshold,F1Gain
with PageValues,analysis-ceiling,full,KNN,base,0.7915921355428044,0.46757679180887374,0.5417721518987342,0.21,0.07419536008986044
with PageValues,analysis-ceiling,full,KNN,oversampling,0.7803553124780176,0.4946025515210991,0.5034642032332564,0.61,0.008861651712157248
with PageValues,analysis-ceiling,full,KNN,undersampling,0.8255098682557707,0.5248868778280543,0.5399515738498789,0.61,0.015064696021824586
with PageValues,analysis-ceiling,full,SVM,base,0.8849071961893659,0.5454545454545454,0.6402877697841727,0.12,0.09483322432962726
with PageValues,analysis-ceiling,full,SVM,oversampling,0.8990061400247209,0.6341991341991342,0.6407322654462243,0.61,0.006533131247090096
with PageValues,analysis-ceiling,full,SVM,undersampling,0.8913587442594287,0.6139630390143738,0.6442786069651741,0.73,0.03031556795080037
with PageValues,analysis-ceiling,full,SVM,class_weighted,0.8990965822873853,0.5902578796561605,0.6436233611442194,0.28,0.053365481488058863
with PageValues,analysis-ceiling,full,LogisticRegression,base,0.8870263086492951,0.4798598949211909,0.6310432569974554,0.22,0.15118336207626454
with PageValues,analysis-ceiling,full,LogisticRegression,oversampling,0.8957753414195416,0.6103896103896104,0.6381909547738693,0.59,0.027801344384258964
with PageValues,analysis-ceiling,full,LogisticRegression,undersampling,0.8942127001035061,0.5981688708036622,0.6271186440677966,0.6,0.028949773264134393
with PageValues,analysis-ceiling,full,LogisticRegression,class_weighted,0.8963883389776004,0.6100966702470462,0.6428571428571429,0.58,0.032760472610096736
with PageValues,analysis-ceiling,full,RandomForest,base,0.9182433349076987,0.6285714285714286,0.6706161137440758,0.33,0.042044685172647256
with PageValues,analysis-ceiling,full,RandomForest,oversampling,0.9189800625056526,0.6684073107049608,0.6684073107049608,0.5,0.0
with PageValues,analysis-ceiling,full,RandomForest,undersampling,0.9190033011425873,0.6196377502383222,0.6627358490566038,0.68,0.04309809881828153
with PageValues,analysis-ceiling,full,RandomForest,class_weighted,0.92190122197546,0.6513872135102533,0.6614583333333334,0.57,0.010071119823080066
with PageValues,analysis-ceiling,full,XGBoost,base,0.9146765181738702,0.6230440967283073,0.6409966024915063,0.21,0.017952505763198956
with PageValues,analysis-ceiling,full,XGBoost,oversampling,0.917358382490378,0.6378896882494005,0.6571056062581486,0.62,0.019215918008748112
with PageValues,analysis-ceiling,full,XGBoost,undersampling,0.9150232135140839,0.5950413223140496,0.647191011235955,0.77,0.05214968892190541
with PageValues,analysis-ceiling,full,XGBoost,class_weighted,0.9138700746651125,0.6363636363636364,0.649810366624526,0.58,0.013446730260889606
with PageValues,analysis-ceiling,top10,KNN,base,0.8506427681361859,0.5906432748538012,0.6044340723453909,0.21,0.013790797491589735
with PageValues,analysis-ceiling,top10,KNN,oversampling,0.8369822180462462,0.5672797676669894,0.5825027685492802,0.61,0.015223000882290783
with PageValues,analysis-ceiling,top10,KNN,undersampling,0.8719827456261117,0.5682451253481894,0.5801886792452831,0.61,0.011943553897093673
with PageValues,analysis-ceiling,top10,SVM,base,0.8879445488438463,0.5700787401574803,0.6574074074074074,0.08,0.08732866724992716
with PageValues,analysis-ceiling,top10,SVM,oversampling,0.8890172945704494,0.6373165618448637,0.6562874251497006,0.75,0.018970863304836882
with PageValues,analysis-ceiling,top10,SVM,undersampling,0.8877850187416467,0.6297071129707112,0.6447058823529411,0.7,0.014998769382229882
with PageValues,analysis-ceiling,top10,SVM,class_weighted,0.8908587995297003,0.6186666666666667,0.6547192353643967,0.33,0.03605256869772999
with PageValues,analysis-ceiling,top10,LogisticRegression,base,0.891662730753384,0.4858156028368794,0.6361386138613861,0.2,0.15032301102450674
with PageValues,analysis-ceiling,top10,LogisticRegression,oversampling,0.8981356332465759,0.6179401993355482,0.6431372549019608,0.62,0.025197055566412607
with PageValues,analysis-ceiling,top10,LogisticRegression,undersampling,0.8976633236526615,0.6124197002141327,0.6412776412776413,0.58,0.028857941063508585
with PageValues,analysis-ceiling,top10,LogisticRegression,class_weighted,0.8979522364361728,0.6186252771618626,0.6430446194225722,0.63,0.02441934226070963
with PageValues,analysis-ceiling,top10,RandomForest,base,0.9102065349559345,0.6277777777777778,0.6545454545454545,0.36,0.026767676767676774
with PageValues,analysis-ceiling,top10,RandomForest,oversampling,0.9065517882445158,0.6437659033078881,0.6453143534994069,0.44,0.0015484501915188353
