Threshold,Accuracy,Precision,Recall,F1-Score,Lift,PredictedPositive
0.05,0.6366585563665855,0.29472843450479236,0.9659685863874345,0.45165238678090575,1.9026186374052827,1252
0.1,0.7725060827250608,0.39887005649717516,0.9240837696335078,0.5572217837411207,2.5749046055550626,885
0.15,0.8236009732360098,0.4633471645919779,0.8769633507853403,0.6063348416289592,2.991136408072821,723
0.2,0.8475263584752636,0.5048231511254019,0.8219895287958116,0.6254980079681275,3.258884530563458,622
0.25,0.8682076236820763,0.5521023765996343,0.7905759162303665,0.6501614639397201,3.56409544684476,547
0.3,0.8819951338199513,0.5938144329896907,0.7539267015706806,0.6643598615916955,3.833367517676904,485
0.35,0.8896999188969992,0.625,0.7198952879581152,0.6690997566909975,4.034685863874346,440
0.4,0.8965936739659367,0.6657963446475196,0.6675392670157068,0.6666666666666666,4.298046559949695,383
0.45,0.8961881589618816,0.6909090909090909,0.5968586387434555,0.6404494382022472,4.460161827701095,330
0.5,0.8998377939983779,0.7385159010600707,0.5471204188481675,0.6285714285714286,4.767487466005587,283
0.55,0.8953771289537713,0.7672413793103449,0.46596858638743455,0.5798045602605864,4.952924715652645,232
0.6,0.8905109489051095,0.7916666666666666,0.39790575916230364,0.5296167247386759,5.1106020942408374,192
0.65,0.8896999188969992,0.8571428571428571,0.34554973821989526,0.4925373134328358,5.5332834704562455,154
0.7,0.8807785888077859,0.8548387096774194,0.2774869109947644,0.4189723320158103,5.518409052524912,124
0.75,0.8665855636658556,0.8441558441558441,0.17015706806282724,0.28322440087145967,5.449445842115999,77
0.8,0.8613138686131386,0.9347826086956522,0.112565445026178,0.20093457943925233,6.034486683359892,46
0.85,0.8527980535279805,0.9130434782608695,0.0549738219895288,0.1037037037037037,5.89414978374687,23
0.9,0.8479318734793188,1.0,0.01832460732984293,0.03598971722365039,6.455497382198953,7
0.95,0.8454987834549879,1.0,0.002617801047120419,0.005221932114882507,6.455497382198953,1
